"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"ENSMUSG00000067825",1712.32436294604,0.769109804355674,0.200735587469602,3.83145716238355,0.00012738655611616,0.00193266612533336,"Up-regulated"
"ENSMUSG00000107915",31.8443228881504,1.59072121387662,0.513683844983826,3.09669309130543,0.00195692365764232,0.0164596356763561,"Up-regulated"
"ENSMUSG00000107499",191.406770638286,0.68748213568749,0.207376783124306,3.31513550036794,0.000915987123449655,0.00913678518251781,"Up-regulated"
"ENSMUSG00000030037",549.010426061211,-0.919887731537758,0.178832826143792,-5.14384160544504,2.69176509398269e-07,1.1501896462799e-05,"Down-regulated"
"ENSMUSG00000030034",243.69414829651,-0.613996901291808,0.211840843047174,-2.8983877351502,0.00375086565171566,0.0274028329507885,"Down-regulated"
"ENSMUSG00000045160",918.883956602121,-1.17145849439658,0.156837000159837,-7.46927378872788,8.06386032974014e-14,2.14762592927334e-11,"Down-regulated"
"ENSMUSG00000107215",22.3223372925752,1.76350315610429,0.589447722356302,2.99178890547703,0.00277347970192746,0.0216095375924646,"Up-regulated"
"ENSMUSG00000032766",97.982242930795,-1.10680923106692,0.265320459561451,-4.17159397694535,3.02476259057879e-05,0.000606111113909686,"Down-regulated"
"ENSMUSG00000004631",85.3942005517251,-0.92828318400535,0.318200667038512,-2.91728861741512,0.00353088885524674,0.026128635792123,"Down-regulated"
"ENSMUSG00000032827",831.765586952311,0.660002054935625,0.20661426877997,3.19436822458027,0.00140137246155419,0.0127419638838273,"Up-regulated"
"ENSMUSG00000019577",493.031269572776,-1.26559109615146,0.217229014657296,-5.82606839214401,5.67483675271984e-09,4.3069952722197e-07,"Down-regulated"
"ENSMUSG00000042541",1311.33165366573,-1.03439868773074,0.178455569976348,-5.79639339846792,6.77562194752666e-09,4.98740252700354e-07,"Down-regulated"
"ENSMUSG00000093651",42.8041075389926,-1.13673588097602,0.367290728347887,-3.09492125240728,0.00196865157336738,0.0165159268308622,"Down-regulated"
"ENSMUSG00000101210",92.6130809387746,1.40756211867854,0.291479749929185,4.82902197844106,1.37205265706221e-06,4.50623930956216e-05,"Up-regulated"
"ENSMUSG00000030364",230.546766676208,2.00576154816169,0.284974209600254,7.03839674114813,1.94464330449556e-12,4.01199086257056e-10,"Up-regulated"
"ENSMUSG00000030208",63.9318564777838,-1.18704655038508,0.414238973417086,-2.86560808268003,0.00416209166644164,0.0294665629434689,"Down-regulated"
"ENSMUSG00000120732",813.717467175699,-0.659986976308253,0.152478703382525,-4.32838791035976,1.50204744507536e-05,0.000338492168853291,"Down-regulated"
"ENSMUSG00000100680",61.705083668017,-1.36385556298598,0.356115104800034,-3.82981666490055,0.000128238764173412,0.00194254541635174,"Down-regulated"
"ENSMUSG00000121179",185.357571677743,-1.12456214797182,0.258353344369071,-4.35280662117275,1.34405698181213e-05,0.000308006278050388,"Down-regulated"
"ENSMUSG00000068262",23.1347450198277,4.50585109606477,0.748906593303977,6.01657287617959,1.78148316607107e-09,1.50839106454388e-07,"Up-regulated"
"ENSMUSG00000108064",126.75345447164,0.937127491000483,0.267741280260064,3.50012329100028,0.000465043016648884,0.00540630960942289,"Up-regulated"
"ENSMUSG00000030340",1059.2989968572,0.593416531168225,0.163669944190657,3.62569031292001,0.000288190561973518,0.00373246273367648,"Up-regulated"
"ENSMUSG00000038167",560.811893101086,0.687281135977815,0.152963878288939,4.49309434139469,7.0195668356664e-06,0.00017944609949187,"Up-regulated"
"ENSMUSG00000030342",342.097885534895,-1.3639137512587,0.225101906808338,-6.05909461451164,1.36889859616766e-09,1.22066023432598e-07,"Down-regulated"
"ENSMUSG00000033940",1298.39433600827,-0.623844897434293,0.147535317799651,-4.22844446155909,2.35312585688538e-05,0.000497382215752627,"Down-regulated"
"ENSMUSG00000030022",56.6509383690214,-0.95708010661302,0.354034268296209,-2.7033544272959,0.00686435084358505,0.0428963358177619,"Down-regulated"
"ENSMUSG00000030278",3169.84683253488,-0.638615824074048,0.167083880616408,-3.82212707604143,0.000132305474778616,0.00198974393691701,"Down-regulated"
"ENSMUSG00000072940",74.8661841425821,-1.71849212917277,0.371971204498617,-4.6199601162384,3.83813817193186e-06,0.000107909880887635,"Down-regulated"
"ENSMUSG00000057278",317.848804064878,-1.17952393484062,0.184997673249421,-6.37588524289354,1.81909103644446e-10,2.14887463724504e-08,"Down-regulated"
"ENSMUSG00000080921",600.751555484634,-1.43465426032714,0.19935356923476,-7.19653159877808,6.17634801233381e-13,1.48313353581419e-10,"Down-regulated"
"ENSMUSG00000004263",37.4942169811844,-2.52798190011053,0.464872931029663,-5.4380062407833,5.38800878158e-08,3.0008955373606e-06,"Down-regulated"
"ENSMUSG00000038451",422.217287947616,-0.608678796596967,0.193420061246993,-3.14692691478211,0.00164996197973782,0.0144809125699218,"Down-regulated"
"ENSMUSG00000023274",28.7924829619427,1.57618616171841,0.459327545527237,3.43150803183204,0.000600235355740203,0.00655160021675298,"Up-regulated"
"ENSMUSG00000030122",8617.98666237693,-0.80300505250048,0.195352239173384,-4.11054951762173,3.94718618195786e-05,0.000756785120331397,"Down-regulated"
"ENSMUSG00000040669",91.1100096526835,0.705184564707476,0.266852051310765,2.64260499870112,0.00822709520066454,0.0489185665599346,"Up-regulated"
"ENSMUSG00000087231",184.258656412658,0.867659993907134,0.250664332308605,3.46144178517953,0.000537290308638285,0.00601699422089724,"Up-regulated"
"ENSMUSG00000047905",600.337738054875,-0.722705740892609,0.172977662185693,-4.17802930020397,2.94045782228331e-05,0.000594094154218013,"Down-regulated"
"ENSMUSG00000030306",72.5938965800638,1.14712891522553,0.354708914909735,3.23400080180519,0.00122069112899618,0.0114988319341068,"Up-regulated"
"ENSMUSG00000063171",392.015943973969,-0.766962883853525,0.208973089810374,-3.67015142738943,0.000242406823955611,0.00325162560192472,"Down-regulated"
"ENSMUSG00000107320",17.3837441030623,1.6594815660269,0.594390491955431,2.7919046291732,0.00523987977575637,0.0350633891983917,"Up-regulated"
"ENSMUSG00000029843",63.0188905200882,1.1378256087239,0.314959618180197,3.61260791239886,0.000303132888686033,0.00389499171357282,"Up-regulated"
"ENSMUSG00000047420",22.9903839479511,-1.67431994582536,0.5900348629512,-2.83766273987752,0.00454451732222409,0.0315717532077071,"Down-regulated"
"ENSMUSG00000042810",1094.61179938019,0.61633782962243,0.138804831093035,4.44031972640294,8.98253238992393e-06,0.000218928676285534,"Up-regulated"
"ENSMUSG00000029797",107.689781740547,0.76828567872957,0.27079496146734,2.83714909083429,0.00455183514462557,0.0315846902882403,"Up-regulated"
"ENSMUSG00000095526",49.5755904621954,1.18088479842244,0.3753032917366,3.14648132436639,0.00165247814367004,0.0144879060731215,"Up-regulated"
"ENSMUSG00000107749",35.8599542855347,1.75162845300646,0.581428287590043,3.01263025964349,0.0025899425790903,0.0204074657872591,"Up-regulated"
"ENSMUSG00000030086",157.503656401426,-0.755401741249265,0.230020834542778,-3.28405791045323,0.00102323894406029,0.0099590724601961,"Down-regulated"
"ENSMUSG00000030096",2044.4556862774,0.737140631870981,0.126609179784158,5.82217366171752,5.80871447857647e-09,4.36338716318914e-07,"Up-regulated"
"ENSMUSG00000005893",182.695572919285,1.00145748915224,0.24424776593988,4.10017051864761,4.12845829098783e-05,0.000781313398532167,"Up-regulated"
