"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0048251","elastic fiber assembly","4/1348","11/28928",0.363636363636364,7.80361478284327,4.989522141211,0.00119002571528356,0.016118618055392,0.013052700824938,"Col3a1/Mfap4/Fbln5/Efemp2",4
"BP","GO:0009156","ribonucleoside monophosphate biosynthetic process","7/1348","36/28928",0.194444444444444,4.17276623804814,4.21114345099361,0.00119451521277213,0.016118618055392,0.013052700824938,"Uck1/Upp2/Nudt2/Cda/Ppat/Aprt/Pnp",7
"BP","GO:0097421","liver regeneration","7/1348","36/28928",0.194444444444444,4.17276623804814,4.21114345099361,0.00119451521277213,0.016118618055392,0.013052700824938,"Cebpb/Itpr1/Rpl32/Ucp2/Ccnd1/Rps15/Gfer",7
"BP","GO:0005996","monosaccharide metabolic process","27/1348","306/28928",0.0882352941176471,1.89352417524873,3.47389385820152,0.00119756794506279,0.0161202038095216,0.0130539849532773,"Atf3/Per2/Slc45a3/Slc23a2/Ogt/Fabp5/Rorc/Gale/Acacb/Prkag2/Sds/Hectd4/Rpia/Bola3/Pdk4/Aldoa/Car5a/Onecut1/Arpp19/Cox11/Igfbp3/Gck/Gpld1/Ppp1r3g/Pmm1/Pgp/Sik1",27
"BP","GO:0030038","contractile actin filament bundle assembly","14/1348","118/28928",0.11864406779661,2.54609465372429,3.72053132903282,0.0012036983758346,0.0161236865367893,0.0130568052320955,"Abl1/Rhoc/S100a10/Asap3/Wnt4/Stmn1/Eln/Epha1/Ppp1r9a/Nox4/Ccn2/Apoa1/Pfn1/Itgb1bp1",14
"BP","GO:0043149","stress fiber assembly","14/1348","118/28928",0.11864406779661,2.54609465372429,3.72053132903282,0.0012036983758346,0.0161236865367893,0.0130568052320955,"Abl1/Rhoc/S100a10/Asap3/Wnt4/Stmn1/Eln/Epha1/Ppp1r9a/Nox4/Ccn2/Apoa1/Pfn1/Itgb1bp1",14
"BP","GO:0001889","liver development","19/1348","187/28928",0.101604278074866,2.18042177755915,3.5801942612039,0.00122753559000398,0.0163965948078207,0.0132778037074103,"Ugt1a1/Ppdpf/Dut/Cebpb/Wnt4/Jun/Hnf1a/Itpr1/Rpl32/Ucp2/E2f8/Mki67/Ccnd1/Taf10/Rps15/Onecut1/Med1/Hes1/Gfer",19
"BP","GO:0120032","regulation of plasma membrane bounded cell projection assembly","21/1348","216/28928",0.0972222222222222,2.08638311902407,3.54305320867998,0.00123004316475275,0.0163965948078207,0.0132778037074103,"Hdac4/Gm14137/Cdkl5/Pqbp1/Ephb2/Epha2/Dynll1/Ppp1r35/Ppp1r9a/Brk1/Tbc1d30/Carmil2/Gpm6a/Rab11a/Mien1/Pfn1/Ripor2/Dcdc2a/Dbn1/Syne2/Mapk15",21
"BP","GO:0009648","photoperiodism","6/1348","27/28928",0.222222222222222,4.76887570062644,4.33148459838263,0.00128852802898486,0.0170110479211175,0.0137753818888185,"Per2/Cry2/Per3/Nr2f6/Usp2/Sik1",6
"BP","GO:0009649","entrainment of circadian clock","6/1348","27/28928",0.222222222222222,4.76887570062644,4.33148459838263,0.00128852802898486,0.0170110479211175,0.0137753818888185,"Per2/Cry2/Per3/Nr2f6/Usp2/Sik1",6
"BP","GO:0042759","long-chain fatty acid biosynthetic process","6/1348","27/28928",0.222222222222222,4.76887570062644,4.33148459838263,0.00128852802898486,0.0170110479211175,0.0137753818888185,"Gstm6/Gstm3/Gstm2/Gstm1/Gstp2/Gstp3",6
"BP","GO:0090151","establishment of protein localization to mitochondrial membrane","6/1348","27/28928",0.222222222222222,4.76887570062644,4.33148459838263,0.00128852802898486,0.0170110479211175,0.0137753818888185,"Romo1/Timm10/Pdcd5/Bax/Timm13/Ndufa13",6
"BP","GO:0043903","regulation of biological process involved in symbiotic interaction","10/1348","69/28928",0.144927536231884,3.11013632649551,3.87966237708636,0.00129641740712835,0.0170741592324913,0.0138264888176632,"Apcs/Gsn/Cd4/Ifitm2/Ifitm1/Ifitm3/Trim21/Snx3/Bsg/Lgals1",10
"BP","GO:0060041","retina development in camera-type eye","21/1348","217/28928",0.0967741935483871,2.07676845027281,3.51987744416138,0.00130346824730864,0.0171259512301892,0.0138684294758978,"Mfsd2a/Chd7/Fzd4/Bax/Bsg/Gpm6a/Large1/Nectin1/Gnat1/Acvr2b/Med1/Arsg/Ikzf1/Ntrk2/Ttll5/Zhx2/Pfdn5/Hes1/C3/Pdgfrb/Pde6c",21
"BP","GO:0009132","nucleoside diphosphate metabolic process","16/1348","146/28928",0.10958904109589,2.35177431811715,3.62009233266887,0.00131770761556761,0.0172717189133587,0.0139864707342624,"Hdac4/Dhtkd1/Ogt/Gale/Ak4/Prkag2/Nupr1/Ucp2/Aldoa/Ddit4/Nudt18/Sik2/Nt5e/Guk1/Gck/Jmjd8",16
"BP","GO:0072593","reactive oxygen species metabolic process","24/1348","263/28928",0.091254752851711,1.95832158048538,3.45153818411621,0.00138856223780804,0.0181571043096233,0.0147034472549849,"Hdac4/Prex1/Romo1/Ogt/Atp5if1/Ptgr1/Txn1/Sod3/Pdk4/Nox4/Ucp2/Ccn2/Ddit4/Ndufa13/Cyp1a2/Gpx3/Ndufs6/Fbln5/Itgb2l/Cbr1/Xdh/Cdkn1a/Plin5/Pdgfrb",24
"BP","GO:0006006","glucose metabolic process","23/1348","248/28928",0.092741935483871,1.99023643151144,3.46237959927217,0.00139691380152797,0.0182229230356095,0.0147567466219669,"Atf3/Per2/Slc45a3/Ogt/Fabp5/Rorc/Acacb/Prkag2/Sds/Hectd4/Bola3/Pdk4/Aldoa/Car5a/Onecut1/Arpp19/Cox11/Igfbp3/Gck/Gpld1/Ppp1r3g/Pgp/Sik1",23
